Nombre,Fecha,4G Health,4G Accessibility,4G Availability,4G Integrity,4G Mobility,4G Resource,4G Retainability
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"2/03/16, 22:00",98.93%,99.33%,100.00%,99.33%,96.51%,98.42%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"2/03/16, 23:00",98.85%,99.39%,98.78%,99.50%,96.92%,98.53%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"3/03/16, 00:00",98.89%,99.85%,98.09%,99.27%,97.47%,98.64%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"3/03/16, 01:00",98.86%,99.48%,99.83%,97.83%,97.16%,98.86%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"3/03/16, 02:00",99.17%,99.76%,99.65%,99.59%,97.02%,98.97%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"3/03/16, 03:00",99.28%,99.90%,99.91%,99.77%,97.00%,99.08%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"3/03/16, 04:00",99.35%,99.79%,100.00%,99.61%,97.64%,99.08%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"3/03/16, 05:00",99.06%,99.81%,100.00%,98.17%,97.28%,99.08%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"3/03/16, 06:00",99.25%,99.93%,100.00%,99.28%,97.32%,98.97%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"3/03/16, 07:00",99.14%,99.73%,100.00%,99.39%,97.01%,98.75%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"3/03/16, 08:00",99.00%,99.73%,98.61%,99.67%,97.23%,98.75%,100.00%
